Date,Set 1,Set 2,Set 3
4/13/2024,27.5x12,27.5x12,27.5x12
4/7/2024,25x13,25x12,25x13
4/5/2024,27.5x12,27.5x12,27.5x13
4/1/2024,30x12,27.5x12,27.5x12
3/22/2024,30x13,30x9,27.5x17
3/17/2024,27.5x12,27.5x13,27.5x9
3/14/2024,25x20,30x10,25x14
3/8/2024,30x14,30x10,25x12
3/5/2024,30x13,30x10,25x12
3/2/2024,27.5x15,27.5x13,27.5x10
2/28/2024,27.5x12,27.5x10,25x14
2/25/2024,27.5x12,25x13,25x13
2/20/2024,25x16,25x12,25x11
2/17/2024,25x10,20x14,20x12
2/13/2024,25x12,25x12,25x8
2/7/2024,25x12,25x11,22.5x12
2/4/2024,22.5x16,22.5x12,22.5x9
1/31/2024,25x9,25x8,25x7
1/28/2024,25x9,25x8,25x7
1/24/2024,22.5x9,22.5x8,22.5x6
1/21/2024,25x8,22.5x8,22.5x8
1/18/2024,25x12,25x10,22.5x10
1/14/2024,22.5x11,22.5x7,20x12
1/11/2024,22.5x8,20x12,20x11
1/8/2024,17.5x12,17.5x12,17.5x12
